GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,SEASON,MEASURE_TYPE
Lineups,-100111-100230-100336-100541-100543-,S. Edwards - Q. Barnes - S. Henning - J. Redd - R. Threatt-Elliott,1611661328,SEA,6,3,3,0.5,18.0,83.7,86.7,87.3,75.8,-3.6,10.9,0.333,0.33,8.1,,0.591,,0.3,0.476,0.54,81.0,85.42,71.19,30,0.486,3,1,249,38,13,108,120,97,143,108,147,22,14,8,202,105,86,169,108,53100,2000,Advanced
Lineups,-100111-100230-100336-100375-100503-,S. Edwards - Q. Barnes - S. Henning - E. Campbell - A. Garner,1611661328,SEA,2,0,2,0.0,18.0,61.8,59.4,110.8,96.8,-49.0,-37.4,0.556,1.25,11.4,0.292,,,0.125,0.29,0.29,76.3,83.08,69.23,32,0.065,63,88,191,88,12,178,153,193,113,31,131,9,30,8,112,171,199,193,173,54600,2000,Advanced
Lineups,-100230-100336-100375-100538-100544-,Q. Barnes - S. Henning - E. Campbell - K. Hibbert - K. Vodichkova,1611661328,SEA,4,0,4,0.0,19.0,61.4,63.3,100.8,106.1,-39.4,-42.7,0.667,0.67,9.5,0.409,,,0.2,0.241,0.307,83.4,80.0,66.67,30,-0.137,17,88,274,88,11,164,203,198,83,83,138,4,30,8,147,191,196,208,218,56700,2000,Advanced
Lineups,-100179-100230-100503-100541-100543-,C. Smith - Q. Barnes - A. Garner - J. Redd - R. Threatt-Elliott,1611661328,SEA,3,0,3,0.0,19.0,96.4,93.1,82.8,83.3,13.6,9.8,0.667,0.8,19.5,,0.667,,0.345,0.614,0.614,72.4,73.43,61.19,29,0.519,33,88,249,88,10,96,132,98,83,78,61,22,4,8,227,61,72,244,95,57850,2000,Advanced
Lineups,-100111-100179-100336-100375-100544-,S. Edwards - C. Smith - S. Henning - E. Campbell - K. Vodichkova,1611661328,SEA,6,1,5,0.167,20.0,85.0,77.5,105.3,102.7,-20.3,-25.2,0.636,1.4,13.7,0.25,0.533,0.371,0.125,0.411,0.437,87.4,92.76,77.3,40,0.312,3,9,288,82,9,125,201,173,103,29,108,12,17,5,112,126,142,113,138,59770,2000,Advanced
Lineups,-100179-100230-100336-100375-100544-,C. Smith - Q. Barnes - S. Henning - E. Campbell - K. Vodichkova,1611661328,SEA,5,1,4,0.2,21.0,91.0,86.8,111.9,110.5,-21.0,-23.7,0.455,0.71,10.4,,,,0.184,0.414,0.481,82.7,85.17,70.97,38,0.24,10,9,274,78,8,107,206,168,138,82,135,22,30,8,142,125,127,172,152,64250,2000,Advanced
Lineups,-100111-100336-100375-100538-100544-,S. Edwards - S. Henning - E. Campbell - K. Hibbert - K. Vodichkova,1611661328,SEA,4,0,4,0.0,25.0,85.0,85.1,116.4,108.7,-31.4,-23.6,0.563,0.9,13.6,0.37,0.5,0.422,0.213,0.429,0.444,85.5,88.34,73.61,47,0.203,17,88,274,88,6,109,205,167,112,76,109,7,18,3,162,117,140,147,159,75800,2000,Advanced
Lineups,-100111-100230-100336-100375-100542-,S. Edwards - Q. Barnes - S. Henning - E. Campbell - C. Sampson,1611661328,SEA,6,1,5,0.167,25.0,82.8,76.1,76.4,73.9,6.4,2.2,0.692,0.9,15.8,,0.667,,0.217,0.518,0.526,83.1,88.09,73.4,46,0.69,3,9,288,82,7,129,110,103,81,76,89,22,4,8,164,72,95,149,67,75200,2000,Advanced
Lineups,-100230-100336-100503-100542-100543-,Q. Barnes - S. Henning - A. Garner - C. Sampson - R. Threatt-Elliott,1611661328,SEA,5,1,4,0.2,29.0,83.9,89.4,79.9,75.5,3.9,13.9,0.706,1.0,17.9,,0.714,,0.255,0.462,0.499,78.5,78.23,65.2,47,0.557,10,9,274,78,5,100,119,91,80,35,69,22,3,8,190,109,124,222,88,88350,2000,Advanced
Lineups,-100111-100179-100336-100470-100542-,S. Edwards - C. Smith - S. Henning - S. Lovelace - C. Sampson,1611661328,SEA,3,0,3,0.0,5.0,100.0,80.0,95.3,100.0,4.7,-20.0,0.667,0.5,16.7,,,,0.4,1.0,1.0,88.1,96.0,80.0,10,0.333,33,88,249,88,78,117,155,160,83,95,77,22,30,8,235,5,15,97,130,14250,2000,Advanced
